yield,variety,year,site,Merged
27,Manchuria,1931,University Farm,ManchuriaUniversity Farm
48.86667,Manchuria,1931,Waseca,ManchuriaWaseca
39.93333,Manchuria,1931,Crookston,ManchuriaCrookston
32.96667,Manchuria,1931,Grand Rapids,ManchuriaGrand Rapids
28.96667,Manchuria,1931,Duluth,ManchuriaDuluth
43.06666,Glabron,1931,University Farm,GlabronUniversity Farm
55.2,Glabron,1931,Waseca,GlabronWaseca
28.76667,Glabron,1931,Morris,GlabronMorris
38.13333,Glabron,1931,Crookston,GlabronCrookston
29.66667,Glabron,1931,Duluth,GlabronDuluth
47.33333,Svansota,1931,Waseca,SvansotaWaseca
25.76667,Svansota,1931,Morris,SvansotaMorris
40.46667,Svansota,1931,Crookston,SvansotaCrookston
29.66667,Svansota,1931,Grand Rapids,SvansotaGrand Rapids
25.7,Svansota,1931,Duluth,SvansotaDuluth
39.9,Velvet,1931,University Farm,VelvetUniversity Farm
26.13333,Velvet,1931,Morris,VelvetMorris
41.33333,Velvet,1931,Crookston,VelvetCrookston
23.03333,Velvet,1931,Grand Rapids,VelvetGrand Rapids
26.3,Velvet,1931,Duluth,VelvetDuluth
36.56666,Trebi,1931,University Farm,TrebiUniversity Farm
63.8333,Trebi,1931,Waseca,TrebiWaseca
46.93333,Trebi,1931,Crookston,TrebiCrookston
29.76667,Trebi,1931,Grand Rapids,TrebiGrand Rapids
33.93333,Trebi,1931,Duluth,TrebiDuluth
43.26667,No. 457,1931,University Farm,No. 457University Farm
58.1,No. 457,1931,Waseca,No. 457Waseca
28.7,No. 457,1931,Morris,No. 457Morris
32.16667,No. 457,1931,Grand Rapids,No. 457Grand Rapids
33.6,No. 457,1931,Duluth,No. 457Duluth
36.6,No. 462,1931,University Farm,No. 462University Farm
65.7667,No. 462,1931,Waseca,No. 462Waseca
30.36667,No. 462,1931,Morris,No. 462Morris
48.56666,No. 462,1931,Crookston,No. 462Crookston
24.93334,No. 462,1931,Grand Rapids,No. 462Grand Rapids
28.1,No. 462,1931,Duluth,No. 462Duluth
32.76667,Peatland,1931,University Farm,PeatlandUniversity Farm
